EmployeeID,Name,Age,Gender,MaritalStatus,Department,JobRole,Education,EducationField,YearsAtCompany,YearsInCurrentRole,NumCompaniesWorked,DistanceFromHome,BusinessTravel,MonthlyIncome,Currency,PercentSalaryHike,PerformanceRating,JobSatisfaction,EnvironmentSatisfaction,WorkLifeBalance,OverTime,TrainingTimesLastYear,RecruitmentSource,RemoteWorkType,ProjectsHandled,AbsenteeismDays,YearsSinceLastPromotion,NumPromotions,ManagerRating,Certifications,TeamSize,Attrition
23,Raj Patel,43,Male,Married,Sales,Sales Representative,Bachelor's,Other,11,8,4,4,Non-Travel,26292,INR,15,3,4,2,1,Yes,0,LinkedIn,Hybrid,11,4,3,3,Good,1,5,No
24,Ravi Patel,45,Female,Married,Marketing,Content Strategist,PhD,Human Resources,1,0,0,26,Non-Travel,36304,INR,23,3,3,3,3,No,0,LinkedIn,On-site,6,9,1,1,Needs Improvement,3,17,No
25,Ravi Patel,20,Male,Divorced,Sales,Sales Manager,Master's,Marketing,2,1,0,18,Travel_Rarely,75856,INR,21,3,1,3,2,Yes,1,LinkedIn,On-site,9,2,0,1,Needs Improvement,3,23,Yes
26,Lucy Lee,33,Female,Single,Research & Development,R&D Manager,PhD,Medical,6,1,2,7,Travel_Rarely,182193,INR,15,3,1,4,3,No,3,Campus Hiring,On-site,8,7,0,2,Needs Improvement,3,11,No
27,Raj Johnson,20,Male,Single,Marketing,Marketing Manager,Bachelor's,Life Sciences,1,0,2,3,Travel_Rarely,78048,INR,13,3,3,1,4,Yes,0,LinkedIn,On-site,3,5,1,1,Good,4,18,No
28,Aisha Kumar,37,Male,Married,IT,Software Engineer,Bachelor's,Human Resources,0,0,3,25,Travel_Frequently,36592,INR,20,3,3,4,2,No,5,Referral,On-site,3,2,0,0,Average,2,17,No
29,David Nair,31,Female,Married,Marketing,Marketing Executive,PhD,Life Sciences,2,1,0,17,Travel_Rarely,30919,INR,23,3,3,3,3,Yes,0,LinkedIn,On-site,4,7,2,1,Good,2,22,No
30,Aisha Sharma,40,Male,Divorced,Research & Development,Research Scientist,Bachelor's,Medical,1,0,3,15,Travel_Rarely,41881,INR,19,4,4,4,4,No,2,Referral,Hybrid,0,5,1,0,Good,2,10,No
31,Mary Smith,31,Female,Married,Research & Development,Laboratory Technician,Bachelor's,Human Resources,0,0,0,28,Travel_Rarely,14535,INR,19,3,1,3,2,No,1,Referral,On-site,1,6,0,0,Needs Improvement,0,8,Yes
32,Maria Singh,20,Male,Divorced,Human Resources,HR Executive,Bachelor's,Medical,2,1,1,8,Travel_Rarely,23461,INR,14,3,4,3,1,Yes,5,LinkedIn,On-site,5,10,0,0,Good,1,23,No
33,Fatima Khan,39,Female,Single,IT,Software Engineer,Master's,Technical Degree,4,1,3,17,Travel_Rarely,70589,INR,13,3,4,2,3,No,0,Consultancy,On-site,6,6,1,1,Good,1,3,No
34,Carlos Singh,45,Male,Divorced,IT,System Administrator,Bachelor's,Marketing,3,1,2,22,Travel_Rarely,33463,INR,11,3,3,3,3,No,3,LinkedIn,Remote,3,3,2,1,Good,2,16,No
35,Lucy Wilson,44,Male,Married,IT,System Administrator,Bachelor's,Medical,0,0,2,6,Non-Travel,26409,INR,11,3,2,2,4,Yes,0,Campus Hiring,Hybrid,3,7,0,1,Good,1,3,Yes
36,Carlos Clark,39,Female,Single,Research & Development,R&D Manager,High School,Life Sciences,1,0,5,2,Travel_Rarely,103147,INR,19,3,3,3,3,No,4,LinkedIn,On-site,5,7,1,0,Average,3,13,No
37,Wei Clark,25,Male,Single,Sales,Sales Manager,Bachelor's,Marketing,3,2,3,29,Travel_Rarely,75932,INR,12,3,3,2,2,No,1,Job Portal,On-site,5,10,0,2,Good,1,6,No
38,Robert Kumar,49,Female,Married,Research & Development,Laboratory Technician,Master's,Medical,1,0,2,18,Travel_Rarely,17203,INR,13,3,3,2,3,No,5,Campus Hiring,On-site,5,4,1,0,Good,1,9,No
39,Kevin Gupta,40,Male,Married,Sales,Sales Executive,Bachelor's,Other,1,0,5,3,Travel_Rarely,22291,INR,22,3,4,3,4,Yes,1,Referral,On-site,5,5,1,1,Excellent,3,3,No
40,Wei Kim,44,Male,Single,Sales,Sales Executive,High School,Marketing,2,1,5,1,Travel_Rarely,22980,INR,11,3,4,3,4,No,5,Walk-in,On-site,2,8,2,1,Good,1,15,No
41,Mary Wilson,44,Male,Divorced,Research & Development,R&D Manager,High School,Technical Degree,3,1,0,28,Travel_Rarely,119790,INR,23,3,3,3,3,No,1,Campus Hiring,Hybrid,4,6,0,2,Good,2,7,No
42,Chen Rodriguez,20,Female,Married,Finance,Accountant,Bachelor's,Marketing,2,1,1,14,Travel_Rarely,23501,INR,16,3,4,2,3,Yes,4,Referral,On-site,5,5,2,0,Good,4,3,No
43,Amit Kim,38,Male,Married,Finance,Financial Analyst,Master's,Technical Degree,2,0,3,2,Travel_Rarely,41920,INR,17,3,1,1,3,Yes,2,Campus Hiring,On-site,5,4,0,1,Good,2,11,No
44,Carlos Patel,34,Male,Married,Research & Development,Laboratory Technician,Bachelor's,Technical Degree,3,2,1,9,Travel_Frequently,17944,INR,12,3,3,4,4,No,2,Job Portal,On-site,4,4,3,2,Average,3,15,No
45,Anjali Sharma,40,Female,Married,Sales,Sales Representative,Master's,Marketing,13,4,1,22,Travel_Frequently,33744,INR,21,4,3,2,3,No,4,LinkedIn,Hybrid,12,6,1,5,Average,2,11,No
46,Emma Khan,42,Female,Married,Human Resources,HR Manager,Master's,Technical Degree,7,5,4,14,Travel_Rarely,100531,INR,14,3,4,3,3,No,4,Referral,On-site,7,4,2,3,Average,1,24,No
47,David Martin,42,Female,Single,IT,System Administrator,Bachelor's,Human Resources,1,0,0,23,Travel_Rarely,28667,INR,21,3,2,2,3,No,2,Campus Hiring,Hybrid,4,8,1,1,Good,2,8,No
48,Linda Gupta,44,Female,Married,IT,Data Analyst,Bachelor's,Life Sciences,0,0,1,4,Travel_Rarely,30565,INR,14,3,2,1,1,Yes,3,LinkedIn,On-site,4,6,0,1,Average,3,14,Yes
49,Maria Clark,43,Male,Single,Finance,Accountant,Bachelor's,Marketing,2,0,1,21,Travel_Rarely,23024,INR,17,3,3,4,2,No,2,Job Portal,On-site,7,6,0,0,Good,2,6,No
50,Ravi Nair,24,Male,Single,IT,Data Analyst,High School,Other,3,2,1,14,Travel_Rarely,38718,INR,24,3,2,3,4,No,0,LinkedIn,On-site,2,7,1,2,Average,3,10,No
51,Robert Smith,31,Female,Single,Research & Development,R&D Manager,Master's,Marketing,9,3,3,6,Travel_Frequently,180627,INR,24,3,2,4,3,Yes,2,Referral,Hybrid,8,10,0,4,Average,0,23,No
52,Tom Sharma,31,Male,Married,Research & Development,Laboratory Technician,Bachelor's,Medical,2,1,3,23,Travel_Rarely,17359,INR,12,3,1,4,2,No,0,Campus Hiring,Hybrid,3,11,1,1,Good,1,21,No
53,James Kim,32,Male,Single,Marketing,Marketing Manager,High School,Other,14,12,5,16,Travel_Rarely,129070,INR,13,4,1,4,3,Yes,5,LinkedIn,Hybrid,10,7,3,5,Good,1,23,No
54,Grace Patel,35,Male,Single,Research & Development,Research Scientist,Bachelor's,Technical Degree,0,0,0,29,Travel_Rarely,42187,INR,18,3,3,3,3,No,0,Consultancy,On-site,4,8,0,1,Good,1,10,No
55,Yusuf Kumar,23,Female,Married,Sales,Sales Representative,Bachelor's,Life Sciences,0,0,2,6,Travel_Frequently,15881,INR,24,3,1,2,4,Yes,0,Job Portal,On-site,2,8,0,1,Needs Improvement,1,16,Yes
56,Mary Nair,35,Female,Married,Sales,Sales Executive,High School,Technical Degree,8,6,0,2,Travel_Rarely,32929,INR,18,3,1,1,3,No,4,Job Portal,On-site,11,2,1,2,Good,0,17,No
57,Maria Khan,30,Male,Married,Sales,Sales Executive,Master's,Other,2,0,3,22,Travel_Frequently,27190,INR,13,4,4,3,3,No,1,LinkedIn,Hybrid,4,5,1,0,Good,1,7,No
58,Amit Davis,41,Male,Single,Research & Development,R&D Manager,PhD,Life Sciences,3,0,3,17,Non-Travel,140424,INR,21,3,1,4,3,Yes,4,LinkedIn,Hybrid,5,5,1,1,Average,2,15,Yes
59,Amit Khan,54,Male,Married,Sales,Sales Executive,Master's,Technical Degree,36,14,2,28,Travel_Rarely,50893,INR,12,3,3,3,2,No,3,Consultancy,On-site,22,5,7,5,Good,4,8,No
60,Chen Anderson,36,Female,Divorced,Research & Development,Laboratory Technician,Bachelor's,Marketing,10,9,5,19,Travel_Rarely,23827,INR,14,3,3,2,2,No,2,Job Portal,Remote,6,7,0,3,Average,1,19,No
61,Chen Johnson,40,Male,Married,Sales,Sales Representative,Master's,Human Resources,9,6,0,9,Travel_Rarely,28118,INR,24,3,4,1,3,No,5,Referral,On-site,8,6,0,4,Good,2,3,No
62,Tom Patel,42,Female,Married,Research & Development,Laboratory Technician,Bachelor's,Human Resources,10,6,3,25,Non-Travel,25547,INR,24,3,2,3,2,No,3,LinkedIn,Hybrid,8,2,1,4,Average,3,8,No
63,Amit Smith,34,Male,Married,Sales,Sales Executive,Master's,Technical Degree,2,1,2,15,Travel_Frequently,26058,INR,23,3,3,4,1,Yes,4,LinkedIn,On-site,7,7,2,0,Good,2,11,Yes
64,Aisha Anderson,37,Female,Married,Finance,Accountant,Bachelor's,Human Resources,0,0,3,13,Travel_Rarely,20511,INR,16,3,1,1,3,No,5,Walk-in,On-site,2,6,0,0,Average,0,8,No
65,Wei Khan,42,Male,Married,IT,IT Support,PhD,Marketing,8,3,1,10,Travel_Rarely,33546,INR,11,3,2,3,3,No,4,Walk-in,On-site,10,5,6,2,Good,2,24,No
66,Lucy Clark,42,Female,Married,Research & Development,Manufacturing Director,Bachelor's,Life Sciences,1,0,2,10,Travel_Rarely,164098,INR,11,3,4,2,3,No,0,Consultancy,Hybrid,1,10,1,0,Good,1,13,No
67,Ravi Wilson,32,Female,Married,IT,Software Engineer,Bachelor's,Marketing,14,9,1,24,Travel_Rarely,134493,INR,17,3,1,1,4,No,4,Job Portal,Remote,11,6,0,4,Good,2,12,No
68,Lucy Martin,41,Male,Married,Research & Development,Laboratory Technician,Master's,Other,11,3,3,25,Travel_Rarely,28581,INR,19,3,3,3,4,No,0,Job Portal,Remote,12,7,2,4,Good,2,9,No
69,Ben Davis,33,Female,Married,Finance,Finance Manager,Master's,Technical Degree,1,0,1,20,Travel_Rarely,95399,INR,21,3,4,3,3,No,4,Walk-in,Hybrid,2,6,1,1,Good,1,5,No
70,Ahmed Patel,45,Female,Married,Finance,Accountant,PhD,Other,9,5,1,4,Travel_Rarely,45286,INR,21,3,2,3,4,No,5,Campus Hiring,On-site,10,6,1,4,Needs Improvement,1,17,No
71,Priya Rodriguez,33,Male,Single,IT,IT Support,Master's,Life Sciences,0,0,1,27,Non-Travel,18894,INR,11,3,3,4,3,No,3,Referral,Hybrid,4,8,0,1,Average,1,13,No
72,Sofia Martin,37,Male,Married,Finance,Finance Manager,Bachelor's,Other,1,0,3,5,Non-Travel,81880,INR,11,3,2,3,3,No,0,Job Portal,On-site,2,6,0,0,Good,1,20,No
73,Sara Kim,24,Female,Married,Marketing,Marketing Executive,High School,Other,2,1,1,18,Travel_Rarely,22604,INR,19,3,3,3,3,Yes,2,LinkedIn,On-site,5,10,0,0,Good,1,24,No
74,David Khan,36,Female,Married,Human Resources,HR Manager,Bachelor's,Life Sciences,2,1,2,7,Travel_Rarely,70768,INR,16,3,1,3,1,No,0,LinkedIn,Hybrid,1,6,2,1,Needs Improvement,0,3,No
75,Kevin Kumar,27,Male,Married,Sales,Sales Executive,Bachelor's,Medical,8,7,2,23,Travel_Frequently,34746,INR,11,3,4,2,4,No,4,LinkedIn,On-site,11,6,0,3,Good,1,6,No
76,Tom Kim,20,Female,Married,Sales,Sales Executive,Bachelor's,Medical,0,0,1,6,Travel_Rarely,23007,INR,23,3,3,4,1,No,2,Walk-in,Hybrid,5,5,0,0,Average,4,24,No
77,Emma Kumar,27,Female,Single,Research & Development,Manufacturing Director,Bachelor's,Human Resources,3,2,2,8,Travel_Frequently,182105,INR,20,4,2,3,3,Yes,1,Referral,On-site,5,7,3,2,Excellent,4,19,No
78,Yusuf Brown,40,Female,Married,Sales,Sales Executive,Master's,Medical,4,3,3,21,Travel_Rarely,31743,INR,19,3,4,4,3,No,0,Job Portal,Hybrid,5,3,0,2,Average,1,6,No
79,Sofia Johnson,35,Male,Divorced,Finance,Financial Analyst,PhD,Technical Degree,2,0,3,27,Non-Travel,42523,INR,21,3,4,1,2,No,0,Campus Hiring,Hybrid,5,7,2,0,Good,1,23,No
80,Yusuf Rodriguez,39,Female,Single,IT,System Administrator,Bachelor's,Other,6,3,1,10,Travel_Rarely,41490,INR,12,3,4,3,2,Yes,1,Consultancy,On-site,8,7,1,2,Good,0,7,No
81,Grace Singh,31,Male,Divorced,IT,Software Engineer,High School,Human Resources,0,0,3,15,Travel_Rarely,34849,INR,18,3,1,4,4,No,5,LinkedIn,Hybrid,4,2,0,0,Average,1,18,No
82,Tom Lee,35,Male,Married,Research & Development,Laboratory Technician,Master's,Medical,9,6,4,4,Non-Travel,27954,INR,13,3,4,3,2,No,2,Job Portal,Hybrid,12,5,8,4,Good,0,9,No
83,Grace Kim,24,Female,Married,Human Resources,HR Recruiter,High School,Medical,3,1,7,23,Travel_Rarely,19301,INR,21,3,3,1,1,No,5,LinkedIn,Hybrid,8,7,0,1,Needs Improvement,3,13,No
84,Priya Lee,56,Male,Single,Finance,Finance Manager,Bachelor's,Technical Degree,0,0,4,24,Non-Travel,82863,INR,24,3,2,1,4,No,3,Referral,Remote,3,6,0,1,Excellent,1,19,No
85,Yusuf Kumar,44,Male,Single,Research & Development,Manufacturing Director,Bachelor's,Life Sciences,5,4,3,25,Travel_Rarely,218805,INR,19,4,1,3,3,No,3,Referral,Hybrid,6,11,4,1,Good,0,15,No
86,Olga Clark,31,Male,Single,Research & Development,R&D Manager,Master's,Other,13,12,3,14,Travel_Rarely,237554,INR,19,3,3,3,3,No,4,Job Portal,Hybrid,9,4,0,4,Good,0,18,No
87,James Singh,53,Female,Married,Human Resources,HR Manager,Master's,Human Resources,0,0,2,18,Travel_Rarely,69251,INR,20,3,2,3,2,No,0,Referral,On-site,1,4,0,0,Average,0,21,Yes
88,Raj Clark,23,Female,Married,IT,IT Support,Bachelor's,Medical,5,2,2,21,Travel_Frequently,23445,INR,11,3,3,1,4,No,2,Campus Hiring,On-site,7,7,0,2,Good,1,10,No
89,Neha Clark,31,Female,Single,Research & Development,R&D Manager,High School,Life Sciences,0,0,2,24,Travel_Rarely,94668,INR,20,4,3,2,2,Yes,2,Referral,On-site,7,4,0,0,Average,0,3,Yes
90,Amit Ali,25,Male,Married,Sales,Sales Executive,Bachelor's,Technical Degree,0,0,5,25,Travel_Rarely,22175,INR,17,3,3,3,4,Yes,2,Referral,On-site,2,11,0,1,Good,2,22,No
91,Fatima Anderson,22,Female,Married,Sales,Sales Executive,Bachelor's,Medical,0,0,1,21,Travel_Rarely,20816,INR,16,3,1,3,3,No,5,Walk-in,On-site,3,5,0,1,Average,1,16,No
92,David Khan,33,Male,Married,Finance,Finance Manager,High School,Marketing,0,0,4,15,Travel_Rarely,74845,INR,21,4,3,4,3,No,4,Job Portal,On-site,3,5,0,1,Average,4,12,No
93,Priya Khan,29,Female,Married,Research & Development,Laboratory Technician,Master's,Human Resources,1,0,3,6,Travel_Frequently,17700,INR,19,3,3,3,1,Yes,2,LinkedIn,On-site,4,8,0,0,Good,1,4,Yes
94,Olga Wilson,52,Female,Married,Sales,Sales Manager,Master's,Life Sciences,0,0,1,23,Travel_Frequently,63901,INR,15,3,4,2,2,No,3,LinkedIn,On-site,7,2,0,0,Average,2,16,No
95,Chen Davis,39,Male,Single,Sales,Sales Executive,Bachelor's,Human Resources,2,1,1,26,Non-Travel,24197,INR,20,3,4,4,3,No,5,LinkedIn,On-site,6,7,0,0,Good,1,8,No
96,Yusuf Johnson,40,Female,Single,Finance,Finance Manager,Master's,Technical Degree,6,3,2,5,Travel_Rarely,130482,INR,20,3,1,2,3,No,4,LinkedIn,On-site,7,3,2,2,Average,0,3,No
97,Ben Davis,27,Female,Single,Research & Development,R&D Manager,Bachelor's,Technical Degree,0,0,0,26,Travel_Rarely,95821,INR,21,3,3,4,3,No,5,Campus Hiring,On-site,3,4,0,1,Good,2,11,No
98,Lucy Singh,29,Male,Married,Human Resources,HR Executive,High School,Technical Degree,0,0,2,19,Travel_Rarely,19890,INR,22,3,1,3,3,No,5,Referral,Remote,9,4,0,0,Excellent,2,16,Yes
99,Amit Patel,29,Male,Single,Sales,Sales Representative,Master's,Marketing,6,3,1,11,Non-Travel,24759,INR,18,4,4,4,3,No,5,Referral,On-site,4,11,0,2,Good,2,22,No
100,Anjali Nair,38,Female,Married,IT,Software Engineer,Bachelor's,Marketing,5,4,2,13,Travel_Rarely,67753,INR,18,3,4,1,3,No,3,Walk-in,Remote,4,7,5,2,Good,2,6,No
101,James Khan,29,Female,Single,Sales,Sales Representative,Bachelor's,Human Resources,8,4,4,25,Travel_Frequently,24150,INR,19,3,2,3,4,No,5,Referral,On-site,6,4,2,2,Good,1,12,No
102,Robert Patel,46,Female,Single,IT,Software Engineer,Bachelor's,Medical,2,1,0,16,Travel_Rarely,48363,INR,12,3,3,4,2,Yes,1,LinkedIn,Hybrid,5,4,0,1,Good,2,24,No
103,Aisha Smith,33,Male,Single,Research & Development,R&D Manager,Bachelor's,Human Resources,1,0,3,26,Travel_Frequently,114423,INR,24,3,3,4,4,Yes,0,Job Portal,On-site,1,3,1,1,Good,0,13,No
104,Raj Davis,42,Male,Single,Finance,Accountant,Bachelor's,Other,2,0,2,6,Travel_Rarely,23491,INR,13,3,3,2,1,No,1,Job Portal,On-site,2,8,0,0,Good,0,15,No
105,Amit Wilson,31,Female,Single,Human Resources,HR Executive,Master's,Medical,3,1,2,24,Travel_Rarely,27321,INR,19,3,2,3,2,No,2,Referral,Remote,3,3,1,2,Excellent,1,4,No
106,John Smith,33,Male,Married,Sales,Sales Representative,Master's,Other,0,0,4,5,Non-Travel,17136,INR,19,3,4,3,3,No,4,LinkedIn,Remote,4,6,0,0,Good,3,18,No
107,Ahmed Patel,30,Female,Divorced,IT,Software Engineer,Bachelor's,Other,0,0,2,18,Travel_Rarely,36017,INR,18,3,3,1,3,No,4,Job Portal,Hybrid,2,3,0,1,Needs Improvement,1,13,No
108,Linda Nair,25,Male,Married,Human Resources,HR Recruiter,Bachelor's,Marketing,0,0,2,17,Travel_Rarely,17182,INR,12,4,3,4,3,No,2,Referral,On-site,5,6,0,0,Average,0,10,No
109,Amit Davis,26,Male,Married,IT,Software Engineer,Bachelor's,Human Resources,8,6,0,20,Travel_Frequently,93576,INR,23,3,4,1,2,No,4,Walk-in,Hybrid,9,10,2,2,Good,2,5,No
110,Grace Nair,27,Male,Married,Research & Development,Laboratory Technician,Bachelor's,Other,9,7,4,19,Travel_Rarely,24454,INR,14,3,3,1,3,Yes,1,Walk-in,On-site,11,7,6,3,Average,1,21,No
111,Robert Kim,45,Female,Married,Marketing,Marketing Manager,Bachelor's,Marketing,6,3,2,13,Non-Travel,101956,INR,15,3,3,3,3,No,4,Consultancy,On-site,7,4,0,3,Average,1,17,No
112,Ben Kim,43,Female,Divorced,Finance,Accountant,Bachelor's,Other,2,1,2,13,Travel_Frequently,24815,INR,23,3,1,3,3,No,0,LinkedIn,Hybrid,6,8,0,0,Average,0,13,No
113,Anjali Clark,29,Male,Married,Marketing,Marketing Manager,High School,Medical,1,0,0,1,Travel_Rarely,73010,INR,11,3,1,1,4,Yes,1,LinkedIn,Hybrid,6,10,1,1,Average,2,8,Yes
114,Nia Gupta,40,Male,Single,Research & Development,R&D Manager,PhD,Other,1,0,0,24,Travel_Rarely,125306,INR,24,3,4,4,3,No,1,Campus Hiring,Remote,6,2,1,1,Excellent,2,14,No
115,John Kim,36,Female,Single,Research & Development,Laboratory Technician,PhD,Marketing,1,0,1,27,Travel_Frequently,18954,INR,24,3,3,4,2,No,3,Campus Hiring,On-site,3,8,1,1,Excellent,3,17,No
116,Nia Clark,33,Male,Married,Human Resources,HR Executive,PhD,Marketing,8,5,5,18,Travel_Frequently,34419,INR,11,3,2,2,3,No,0,Referral,Hybrid,8,6,0,3,Excellent,1,7,No
117,Grace Anderson,42,Male,Divorced,Finance,Financial Analyst,High School,Medical,1,0,1,8,Travel_Rarely,32766,INR,20,3,4,3,3,No,3,Walk-in,On-site,5,10,1,0,Needs Improvement,2,6,No
118,Mary Martin,30,Female,Married,Finance,Financial Analyst,Bachelor's,Life Sciences,4,2,3,16,Travel_Rarely,40048,INR,24,3,4,3,2,No,4,Walk-in,On-site,9,3,0,2,Good,5,4,No
119,Carlos Patel,32,Female,Single,Marketing,Marketing Manager,Bachelor's,Marketing,1,0,0,16,Travel_Rarely,73377,INR,15,3,3,2,3,No,2,LinkedIn,Hybrid,8,6,1,1,Average,1,14,No
120,Olga Kumar,29,Male,Married,IT,Data Analyst,Bachelor's,Marketing,3,1,1,12,Travel_Rarely,44574,INR,18,3,3,3,4,No,5,Walk-in,On-site,7,2,0,2,Needs Improvement,2,3,No
121,Ben Rodriguez,33,Female,Married,Research & Development,R&D Manager,High School,Medical,15,9,3,20,Travel_Rarely,214494,INR,17,3,4,2,3,Yes,2,LinkedIn,On-site,9,11,0,5,Good,0,20,No
122,Ravi Davis,50,Male,Married,Marketing,Marketing Executive,High School,Marketing,0,0,5,26,Travel_Rarely,20634,INR,20,3,2,3,4,No,4,Campus Hiring,On-site,5,7,0,0,Excellent,1,18,No
123,Wei Brown,51,Male,Married,Research & Development,Manufacturing Director,High School,Technical Degree,3,1,2,16,Non-Travel,184804,INR,12,3,4,4,3,No,3,Campus Hiring,Remote,4,9,3,2,Average,2,16,No
124,Raj Brown,20,Male,Single,Research & Development,Research Scientist,Bachelor's,Technical Degree,1,0,1,12,Travel_Rarely,46045,INR,18,3,4,2,3,No,5,Job Portal,On-site,5,9,1,0,Excellent,2,23,No
125,Amit Davis,33,Male,Single,Research & Development,Manufacturing Director,High School,Technical Degree,3,2,1,21,Travel_Rarely,167019,INR,14,3,4,2,1,Yes,2,Job Portal,On-site,3,7,0,2,Excellent,2,21,No
126,Yusuf Smith,39,Male,Married,Finance,Financial Analyst,Bachelor's,Other,1,0,4,17,Travel_Frequently,34706,INR,14,3,2,4,2,No,5,Consultancy,On-site,2,4,0,0,Average,1,19,Yes
